origin_id_pg,destination_id,destination_name,rank_diff,cost_diff,length_diff
14,2,Vancouver,0,0.00,-580.36
14,3,Mackenzie,0,0.00,-30.74
14,4,Prince George,0,0.00,-269.24
14,5,Quesnel,0,0.00,-427.73
14,6,Williams Lake,0,0.00,-546.12
14,7,McMahon Gas Plant,0,0.00,98.84
14,8,Kamloops,0,0.01,-570.83
14,9,Castlegar,0,-1.60,-54287.09
14,10,Elkford,0,0.00,-522.74
15,1,Terrace,0,0.03,148.85
15,2,Vancouver,0,0.04,-483.42
15,3,Mackenzie,0,0.04,66.20
15,4,Prince George,0,0.03,-172.30
15,5,Quesnel,0,0.03,-330.79
15,6,Williams Lake,0,0.03,-449.17
15,7,McMahon Gas Plant,0,0.03,195.77
15,8,Kamloops,0,0.03,-473.89
15,9,Castlegar,0,-1.58,-54190.15
15,10,Elkford,0,0.03,-425.79
16,1,Terrace,0,0.02,102.37
16,2,Vancouver,0,0.02,-529.90
16,3,Mackenzie,0,0.02,19.72
16,4,Prince George,0,0.02,-218.78
16,5,Quesnel,0,0.02,-377.27
16,6,Williams Lake,0,0.01,-495.65
16,7,McMahon Gas Plant,0,0.01,149.29
16,8,Kamloops,0,0.01,-520.37
16,9,Castlegar,0,-1.59,-54236.63
16,10,Elkford,0,0.02,-472.28
17,1,Terrace,0,-0.09,-248.11
17,2,Vancouver,0,-0.09,-880.38
17,3,Mackenzie,0,-0.09,-330.76
17,4,Prince George,0,-0.10,-569.26
17,5,Quesnel,0,-0.09,-727.74
17,6,Williams Lake,0,-0.09,-846.13
17,7,McMahon Gas Plant,0,-0.09,-201.18
17,8,Kamloops,0,-0.09,-870.84
17,9,Castlegar,0,-1.69,-54587.10
17,10,Elkford,0,-0.10,-822.76
18,1,Terrace,0,0.03,148.85
18,2,Vancouver,0,0.04,-483.42
18,3,Mackenzie,0,0.04,66.20
18,4,Prince George,0,0.03,-172.30
18,5,Quesnel,0,0.03,-330.79
18,6,Williams Lake,0,0.03,-449.17
18,7,McMahon Gas Plant,0,0.03,195.77
18,8,Kamloops,0,0.03,-473.89
18,9,Castlegar,0,-1.58,-54190.15
18,10,Elkford,0,0.03,-425.79
19,1,Terrace,0,0.03,148.85
19,2,Vancouver,0,0.04,-483.42
19,3,Mackenzie,0,0.04,66.20
19,4,Prince George,0,0.03,-172.30
19,5,Quesnel,0,0.03,-330.79
19,6,Williams Lake,0,0.03,-449.17
19,7,McMahon Gas Plant,0,0.03,195.77
19,8,Kamloops,0,0.03,-473.89
19,9,Castlegar,0,-1.58,-54190.15
19,10,Elkford,0,0.03,-425.79
20,1,Terrace,0,0.23,786.14
20,2,Vancouver,0,0.23,153.87
20,3,Mackenzie,0,0.23,703.49
20,4,Prince George,0,0.22,465.00
20,5,Quesnel,0,0.23,306.51
20,6,Williams Lake,0,0.23,188.13
20,7,McMahon Gas Plant,0,0.23,833.07
20,8,Kamloops,0,0.23,163.41
20,9,Castlegar,0,-1.37,-53552.85
20,10,Elkford,0,0.22,211.50
21,1,Terrace,0,0.23,777.31
21,2,Vancouver,0,0.23,145.04
21,3,Mackenzie,0,0.23,694.66
21,4,Prince George,0,0.22,456.17
21,5,Quesnel,0,0.22,297.68
21,6,Williams Lake,0,0.23,179.30
21,7,McMahon Gas Plant,0,0.23,824.24
21,8,Kamloops,0,0.23,154.58
21,9,Castlegar,0,-1.37,-53561.68
21,10,Elkford,0,0.22,202.66
22,1,Terrace,0,0.05,205.74
22,2,Vancouver,0,0.05,-426.53
22,3,Mackenzie,0,0.05,123.09
22,4,Prince George,0,0.05,-115.40
22,5,Quesnel,0,0.04,-273.89
22,6,Williams Lake,0,0.05,-392.29
22,7,McMahon Gas Plant,0,0.05,252.67
22,8,Kamloops,0,0.05,-416.99
22,9,Castlegar,0,-1.56,-54133.25
22,10,Elkford,0,0.05,-368.91
23,1,Terrace,0,-0.08,-220.95
23,2,Vancouver,0,-0.08,-853.21
23,3,Mackenzie,0,-0.08,-303.59
23,4,Prince George,0,-0.09,-542.09
23,5,Quesnel,0,-0.09,-700.57
23,6,Williams Lake,0,-0.08,-818.97
23,7,McMahon Gas Plant,0,-0.08,-174.01
23,8,Kamloops,0,-0.08,-843.67
23,9,Castlegar,0,-1.68,-54559.93
23,10,Elkford,0,-0.09,-795.59
24,1,Terrace,0,0.23,786.14
24,2,Vancouver,0,0.23,153.87
24,3,Mackenzie,0,0.23,703.49
24,4,Prince George,0,0.22,465.00
24,5,Quesnel,0,0.23,306.51
24,6,Williams Lake,0,0.23,188.13
